Assembly instruction,Category,
VPBROADCASTB,BROADCAST,
VPBROADCASTB {evex},BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB {evex},BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTB,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD {evex},BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD {evex},BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD {evex},BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD {evex},BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD {evex},BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD {evex},BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTMB2Q,BROADCAST,
VPBROADCASTMB2Q,BROADCAST,
VPBROADCASTMB2Q,BROADCAST,
VPBROADCASTMW2D,BROADCAST,
VPBROADCASTMW2D,BROADCAST,
VPBROADCASTMW2D,BROADCAST,
VPBROADCASTQ,BROADCAST,
VPBROADCASTQ,BROADCAST,
VPBROADCASTQ,BROADCAST,
VPBROADCASTQ,BROADCAST,
VPBROADCASTQ,BROADCAST,
VPBROADCASTQ,BROADCAST,
VPBROADCASTQ,BROADCAST,
VPBROADCASTQ,BROADCAST,
VPBROADCASTQ,BROADCAST,
VPBROADCASTQ {evex},BROADCAST,
VPBROADCASTQ,BROADCAST,
VPBROADCASTQ,BROADCAST,
VPBROADCASTQ {evex},BROADCAST,
VPBROADCASTQ,BROADCAST,
VPBROADCASTQ,BROADCAST,
